Mouse_DAG_Gene
Actg1
Ankrd1
Arid5a
Atf3
Atf4
Bag3
Bhlhe40
Brd2
Btg1
Btg2
Ccnl1
Ccrn4l
Cebpb
Cebpd
Cebpg
Csrnp1
Cxcl1
Cyr61
Dcn
Ddx3x
Ddx5
Des
Dnaja1
Dnajb1
Dnajb4
Dusp1
Dusp8
Egr1
Egr2
Eif1
Eif5
Erf
Ern1
Fam132b
Fos
Fosb
Fosl2
Gadd45a
Gadd45g
Gcc1
Gem
H3f3b
Hipk3
Hsp90aa1
Hsp90ab1
Hspa1a
Hspa1b
Hspa5
Hspa8
Hspb1
Hspe1
Hsph1
Id1
Id3
Ier2
Ier3
Ifrd1
Il6
Irf1
Irf8
Itpkc
Jun
Junb
Jund
Kcne4
Klf2
Klf4
Klf6
Klf9
Lif
Lmna
Maff
Mcl1
Midn
Mir22hg
Mt1
Myadm
Myc
Myd88
Mzt2
Nckap5l
Ncoa7
Nfkbia
Nfkbiz
Nop58
Nppc
Nr4a1
Odc1
Osgin1
Oxnad1
Pcf11
Pde4b
Pdzk1
Pear1
Phlda1
Pnp
Pnrc1
Ppp1cc
Ppp1r15a
Rap1b
Rassf1
Rhob
Rhoh
Ripk1
Sat1
Sbno2
Sdc4
Serpine1
Sik1
Slc10a6
Slc38a2
Slc41a1
Socs3
Sqstm1
Srf
Srsf5
Stat3
Tiparp
Tnfaip3
Tnfaip6
Tpm3
Tppp3
Tra2a
Trank1
Trib1
Tubb4b
Tubb6
Ubc
Usp2
Wac
Zc3h12a
Zfand5
Zfp36
Zfp36l1
Zfp36l2
Zyx
